Teacher: ---Sandi Metz---
Student: Jeffrey Zeldman
Student: Richard Stallman
Student: Kelsey Hightower
Student: Douglas Crockford
Student: Saron Yitbarek
Student: Mike Monteiro
Student: Stephanie Morillo
Student: Raffi Krikorian
Student: Eileen Uchitelle
Student: Mitchell Hashimoto
Student: Joe Armstrong
Student: Lyza Danger
Student: Casey West
Student: Larry Wall
Student: Matt Griffin
Student: Allison Randal
Student: Petro Salema
Student: José Valim
Student: Andrew Clay
Student: Aaron Patterson
Student: Brad Frost
Student: Scott Hanselman
Student: Lara Schenck
Student: Joshua Suereth
Student: Bryan Liles
Student: Seth Vargo
Student: Jono Bacon
Student: Nadia Odunayo
